time,pre
16-01-1901,10.520805
15-02-1901,1.7109619
16-03-1901,1.8928412
16-04-1901,1.1395973
16-05-1901,5.0941834
16-06-1901,0.33378077
16-07-1901,0.48724833
16-08-1901,0.741387
16-09-1901,0.2655481
16-10-1901,0.9626398
16-11-1901,2.9196868
16-12-1901,6.1621923
16-01-1902,9.493065
15-02-1902,3.4076064
16-03-1902,2.5973155
16-04-1902,3.0205817
16-05-1902,1.0863535
16-06-1902,0.3344519
16-07-1902,0.48881432
16-08-1902,0.741387
16-09-1902,0.21856824
16-10-1902,1.3521253
16-11-1902,4.653915
16-12-1902,5.150336
16-01-1903,6.04698
15-02-1903,3.8474274
16-03-1903,5.060403
16-04-1903,1.4438479
16-05-1903,0.94004476
16-06-1903,0.2834452
16-07-1903,0.48724833
16-08-1903,0.742953
16-09-1903,0.22438478
16-10-1903,1.0525727
16-11-1903,2.392841
16-12-1903,3.8966444
16-01-1904,8.597316
15-02-1904,5.48434
16-03-1904,2.4577181
16-04-1904,3.2644296
16-05-1904,1.7592841
16-06-1904,0.2836689
16-07-1904,0.48724833
16-08-1904,0.741387
16-09-1904,0.21856824
16-10-1904,1.3172259
16-11-1904,5.3176737
16-12-1904,10.1217
16-01-1905,5.4872484
15-02-1905,4.5340047
16-03-1905,6.1346755
16-04-1905,3.2923937
16-05-1905,0.8865772
16-06-1905,0.2836689
16-07-1905,0.48724833
16-08-1905,0.741387
16-09-1905,0.16756153
16-10-1905,1.6615213
16-11-1905,2.4340045
16-12-1905,10.707159
16-01-1906,4.4675617
15-02-1906,3.4131992
16-03-1906,3.043177
16-04-1906,2.6310964
16-05-1906,3.9120805
16-06-1906,0.3340045
16-07-1906,0.48322147
16-08-1906,0.7375839
16-09-1906,0.1671141
16-10-1906,3.0387025
16-11-1906,2.6022372
16-12-1906,1.789933
16-01-1907,12.379195
15-02-1907,4.619463
16-03-1907,4.43132
16-04-1907,1.9230425
16-05-1907,0.6908277
16-06-1907,0.33378077
16-07-1907,0.4912752
16-08-1907,0.74519014
16-09-1907,0.14675616
16-10-1907,1.9718121
16-11-1907,4.621253
16-12-1907,3.345414
16-01-1908,13.9655485
15-02-1908,6.006488
16-03-1908,7.1214767
16-04-1908,3.7659955
16-05-1908,1.0447427
16-06-1908,0.38165548
16-07-1908,0.4798658
16-08-1908,0.7324385
16-09-1908,0.14451902
16-10-1908,1.8004475
16-11-1908,4.093736
16-12-1908,5.328188
16-01-1909,6.4995527
15-02-1909,2.3635347
16-03-1909,2.1080537
16-04-1909,5.940492
16-05-1909,2.3402684
16-06-1909,0.24787472
16-07-1909,0.47919464
16-08-1909,0.7324385
16-09-1909,0.18657719
16-10-1909,2.0709174
16-11-1909,2.8543625
16-12-1909,4.0921702
16-01-1910,6.2521253
15-02-1910,1.958613
16-03-1910,5.9715886
16-04-1910,2.4514542
16-05-1910,1.5767338
16-06-1910,0.24832216
16-07-1910,0.47874722
16-08-1910,0.7496644
16-09-1910,0.16890381
16-10-1910,0.7689038
16-11-1910,3.6722596
16-12-1910,2.8899329
16-01-1911,8.134229
15-02-1911,7.8199105
16-03-1911,4.0152125
16-04-1911,2.8581655
16-05-1911,0.9205817
16-06-1911,0.24787472
16-07-1911,0.5178971
16-08-1911,0.7324385
16-09-1911,0.17807606
16-10-1911,2.9131992
16-11-1911,4.408501
16-12-1911,7.394631
16-01-1912,5.9326625
15-02-1912,6.4183445
16-03-1912,2.8120806
16-04-1912,1.406264
16-05-1912,1.9440717
16-06-1912,0.24787472
16-07-1912,0.48210293
16-08-1912,0.74049217
16-09-1912,0.16107383
16-10-1912,1.4344519
16-11-1912,3.589933
16-12-1912,7.6530204
16-01-1913,3.2136467
15-02-1913,6.2080536
16-03-1913,2.9270694
16-04-1913,1.617226
16-05-1913,2.8467562
16-06-1913,0.25190157
16-07-1913,0.48322147
16-08-1913,0.7308725
16-09-1913,0.16935124
16-10-1913,3.4387026
16-11-1913,4.427964
16-12-1913,6.2709174
16-01-1914,2.6232662
15-02-1914,3.9738255
16-03-1914,2.4975393
16-04-1914,4.732215
16-05-1914,1.1391499
16-06-1914,0.26152125
16-07-1914,0.496868
16-08-1914,0.7483221
16-09-1914,0.23467562
16-10-1914,0.75190157
16-11-1914,5.3722596
16-12-1914,7.5847874
16-01-1915,3.603132
15-02-1915,3.2268457
16-03-1915,3.9787474
16-04-1915,2.0785236
16-05-1915,1.0689038
16-06-1915,0.25033557
16-07-1915,0.47874722
16-08-1915,0.7308725
16-09-1915,0.18769576
16-10-1915,0.6118568
16-11-1915,2.405593
16-12-1915,3.5373602
16-01-1916,12.240493
15-02-1916,6.3387027
16-03-1916,5.880537
16-04-1916,2.4689038
16-05-1916,0.8816555
16-06-1916,0.26621926
16-07-1916,0.48523492
16-08-1916,0.7373602
16-09-1916,0.18970917
16-10-1916,1.5693513
16-11-1916,4.9246087
16-12-1916,6.3295302
16-01-1917,11.737808
15-02-1917,8.264877
16-03-1917,2.5541387
16-04-1917,1.3346757
16-05-1917,1.1852349
16-06-1917,0.26621926
16-07-1917,0.47874722
16-08-1917,0.7308725
16-09-1917,0.2852349
16-10-1917,1.3190157
16-11-1917,3.864877
16-12-1917,7.774497
16-01-1918,4.754139
15-02-1918,5.7800894
